country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Morocco,2022,21.189580223880597,51.820646766169155,0.03395646766169154,10.244396766169153,58.003723178336195,1.5900946880639502,1.2479542066614076,1.6062163260136468,0.3972,374999.9999999999,65960.05606166784,296776.4540995095,756498.9770497545,19507.3369569026,1399938.3085143664,65960.05606166784,0.0,Savana
Morocco,2023,20.654372969460688,52.187865497076025,0.028161955815464587,11.200295646523715,56.69341447278836,1.5744516411466076,1.2460686648322523,1.6062163260136468,0.3972,374999.9999999999,65960.05606166784,296776.4540995095,756498.9770497545,19507.3369569026,1399938.3085143664,65960.05606166784,0.0,Savana
Morocco,2024,19.054577625570776,59.93915525114155,0.05293493150684931,13.587979452054794,56.59181423723334,1.579511411416391,1.2290099407153876,1.6062163260136468,0.3972,374999.9999999999,65960.05606166784,296776.4540995095,756498.9770497545,19507.3369569026,1399938.3085143664,65960.05606166784,0.0,Savana
Mozambique,2022,26.100989842454396,66.04601990049751,0.07674647595356551,12.752394278606966,69.74558623186121,1.6761505592847175,1.4107792770674763,4.666931194264016,0.37,378875.8366343396,312144.2881209306,66731.5485134089,0.0,63145.97277238992,0.0,312144.2881209306,0.0,Savana
Mozambique,2023,24.14157686781609,74.10216115900383,0.18553101053639848,10.78302801724138,68.92942917824962,1.6701130601229337,1.3996123020997167,4.666931194264016,0.37,378875.8366343396,312144.2881209306,66731.5485134089,0.0,63145.97277238992,0.0,312144.2881209306,0.0,Savana
Namibia,2022,22.90345460199005,39.95503731343283,0.020567786069651744,14.02470460199005,56.25681076996813,1.5767434830425888,1.2252075177101616,4.5611954948148155,0.3972,45417.292719573816,15537.49487774894,597.5959568364979,597.5959568364979,0.0,0.0,15537.49487774894,0.0,Steppe
Namibia,2023,20.3544845545977,46.1308908045977,0.051188577586206895,12.445147270114944,55.13787121152464,1.560952537925087,1.2301559993209672,4.561195494814815,0.3972,45417.292719573816,15537.49487774894,597.5959568364979,597.5959568364979,0.0,0.0,15537.49487774894,0.0,Steppe
Niger,2022,27.72069482134781,31.193775440976932,0.0316403776571687,15.980978629579376,61.07332543806071,1.6092471446785754,1.2995382574993966,2.1740000000000004,0.17,21296.1468254461,543.2690516695435,8040.381964709242,2281.730017012081,651.9228620034518,0.0,543.2690516695435,0.0,Savana
Niger,2023,30.72090680512017,25.492489550679206,0.053791960553814,16.1343309169279,62.44186706861174,1.6179392181002878,1.3221232575076016,2.1740000000000004,0.16999999999999998,21296.1468254461,543.2690516695435,8040.381964709242,2281.730017012081,651.9228620034518,0.0,543.2690516695435,0.0,Savana
Nigeria,2022,25.606014570007105,66.4942697228145,0.16866648898365316,8.29990671641791,68.8493260718085,1.6652965672617779,1.4099048776686778,2.2569339587125894,0.469,631402.8138232483,136764.10326458132,494638.7105586667,0.0,494638.7105586667,0.0,136764.10326458132,0.0,Desert
Nigeria,2023,27.30178571428571,64.15396654351396,0.2829092261904762,9.420073891625615,70.58833748301105,1.6739807291823692,1.4449691695113667,2.2569339587125894,0.469,631402.8138232483,136764.10326458132,494638.7105586667,0.0,494638.7105586667,0.0,136764.10326458132,0.0,Desert
Senegal,2022,27.299103441127695,58.9241811774461,0.16405731757877282,12.483763474295191,69.26800234876205,1.665318904801028,1.4239236743928076,2.4365366991864845,0.252,161151.70969357557,39839.73045576653,114738.42371260752,9362.336657105132,597.5959568364975,0.0,39839.73045576653,0.0,Savana
Senegal,2023,27.635488505747126,52.7382962164751,0.06907836446360154,15.57290170019157,67.31234043395226,1.6575396293064748,1.3791342175233587,2.4365366991864845,0.252,161151.70969357557,39839.73045576653,114738.42371260752,9362.336657105132,597.5959568364975,0.0,39839.73045576653,0.0,Savana
Seychelles,2022,26.561194029850746,76.03886815920399,0.21069651741293532,20.705068407960198,73.86546455165626,1.695530530894548,1.4970680263728435,3.3672222222222223,0.3972,12350.316441287623,1792.787870509493,10557.528570778128,0.0,0.0,0.0,1792.787870509493,0.0,Rainforest
Seychelles,2023,27.174910201149427,76.23814655172414,0.16373024425287355,18.95617816091954,74.94535728219458,1.698484673577495,1.525417118014597,3.3672222222222223,0.3972,12350.316441287623,1792.787870509493,10557.528570778128,0.0,0.0,0.0,1792.787870509493,0.0,Rainforest
