country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Senegal,2022,9,27.003703703703703,80.3013888888889,0.37667824074074074,11.386273148148147,75.57456299626993,1.6995704325533387,1.5436482871536656,2.4365366991864845,0.252,696175385.8762465,172107635.5689114,495669990.43846446,40445294.35869417,2581614.533533669,0.0,172107635.5689114,0.0,Savana
Senegal,2022,10,28.151164874551974,70.12903225806451,0.11966621863799284,11.073275089605735,74.47973653068316,1.6952726193187508,1.5184198197521894,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2022,11,28.018125,37.03078703703704,0.00032407407407407406,12.541064814814815,63.29198994029272,1.6331818290588869,1.3096135712169676,2.4365366991864845,0.252,696175385.8762465,172107635.5689114,495669990.43846446,40445294.35869417,2581614.533533669,0.0,172107635.5689114,0.0,Savana
Senegal,2022,12,26.353785842293906,39.4209229390681,0.0023969534050179214,14.480936379928316,61.49416438279293,1.6204658761231319,1.2834420336730263,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2023,1,25.854928315412185,31.0828853046595,6.720430107526883e-05,16.348118279569892,57.651471855149204,1.5912838833137728,1.2329025751949376,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2023,2,25.840897817460316,41.63814484126984,0.0,18.252777777777776,60.67546721682887,1.61970507964235,1.2579625820302585,2.4365366991864845,0.252,649763693.4844967,160633793.19765064,462625324.4092335,37748941.40144789,2409506.897964758,0.0,160633793.19765064,0.0,Savana
Senegal,2023,3,27.47112455197133,44.40546594982079,0.0,15.50763888888889,63.128273191790406,1.6382649634782644,1.290403031547396,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2023,4,27.83988425925926,48.76712962962963,0.00034722222222222224,17.121365740740742,65.76398634641832,1.6568651638651049,1.3288854848738876,2.4365366991864845,0.252,696175385.8762465,172107635.5689114,495669990.43846446,40445294.35869417,2581614.533533669,0.0,172107635.5689114,0.0,Savana
Senegal,2023,5,28.784789426523297,53.07213261648746,2.2401433691756272e-05,15.89092741935484,69.1990735461562,1.6756771303902749,1.3936778992073868,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2023,6,28.977453703703706,62.10231481481482,0.05184027777777778,15.110902777777778,73.04812674300643,1.6912086840661826,1.4812355994376154,2.4365366991864845,0.252,696175385.8762465,172107635.5689114,495669990.43846446,40445294.35869417,2581614.533533669,0.0,172107635.5689114,0.0,Savana
Senegal,2023,7,28.619466845878136,72.03001792114695,0.23379704301075271,12.64923835125448,76.01045284135768,1.7003588763942683,1.556180354845396,2.4365366991864845,0.252,719381232.0721214,177844556.75454178,512192323.45307994,41793470.83731731,2667668.351318125,0.0,177844556.75454178,0.0,Savana
Senegal,2023,8,27.536423611111108,76.25138888888888,0.36050347222222223,13.1296875,75.37595457274575,1.6991052935151876,1.5382236977289132,2.4365366991864845,0.252,464116923.91749763,114738423.71260759,330446660.29230964,26963529.57246278,1721076.3556891128,0.0,114738423.71260759,0.0,Savana
Seychelles,2022,8,25.40555555555556,77.80208333333333,0.11284722222222222,28.926041666666666,72.3420915784345,1.6906841179071048,1.4589077608899796,3.3672222222222223,0.3972,21341346.810545012,3097937.4402404036,18243409.370304603,0.0,0.0,0.0,3097937.4402404036,0.0,Rainforest
Seychelles,2022,9,26.169583333333335,78.2388888888889,0.26152777777777775,27.38652777777778,73.76627586820197,1.6950314731955964,1.495078122690218,3.3672222222222223,0.3972,53353367.02636253,7744843.600601009,45608523.42576151,0.0,0.0,0.0,7744843.600601009,0.0,Rainforest
Seychelles,2022,10,26.41680107526882,76.46102150537635,0.09852150537634409,22.83306451612903,73.73507221956946,1.6952714186211313,1.4933818815195006,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2022,11,27.018472222222222,73.43472222222222,0.09236111111111112,13.088611111111112,73.96738088364512,1.6959501102774202,1.4993639436072723,3.3672222222222223,0.3972,53353367.02636253,7744843.600601009,45608523.42576151,0.0,0.0,0.0,7744843.600601009,0.0,Rainforest
